img_dim,thr[#],thread[ms],openmp[ms]
512x512,1,24543,24060
512x512,2,12076,12029
512x512,3,8116,8227
512x512,4,5971,5801
512x512,5,5044,4775
512x512,6,4898,4747
512x512,7,3926,3712
512x512,8,4065,3757
