img_dim,thr[#],thread[ms],openmp[ms]
128x128,1,17186,17233
128x128,2,8615,8750
128x128,3,5812,5858
128x128,4,4539,4632
128x128,5,3610,3799
128x128,6,3529,3842
128x128,7,2846,2990
128x128,8,2918,3203
128x128,9,2224,2193
128x128,10,1913,1943
